"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A711798","Ollie","9/20/2015 16:14","Transfer","Partner","Dog","Neutered Male","5 months","Rat Terrier Mix","White/Black"
"A710040","Lopez","9/12/2015 14:04","Transfer","Partner","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Black/White"
"A691266","Horatio","5/5/2015 9:37","Adoption","Foster","Dog","Neutered Male","11 months","Beagle Mix","Tan/White"
"A690049","Peanut","10/14/2014 17:54","Return_to_owner","","Dog","Spayed Female","2 years","Pomeranian Mix","Red/White"
"A679397","","5/25/2014 12:04","Transfer","Partner","Dog","Intact Male","1 month","German Shepherd Mix","Tricolor"
"A696966","Farrah","12/17/2015 15:31","Adoption","Foster","Dog","Spayed Female","2 years","English Coonhound Mix","Red/White"
"A702643","Buddy","5/31/2015 18:59","Adoption","","Dog","Neutered Male","4 years","Labrador Retriever Mix","Yellow"
"A712217","","9/23/2015 16:45","Transfer","Partner","Dog","Neutered Male","11 months","Maltese Mix","White"
"A692942","Popcornpeter","12/29/2015 13:54","Return_to_owner","","Dog","Neutered Male","1 year","Great Pyrenees Mix","White"
"A684554","Cupcake","7/29/2014 16:21","Adoption","","Dog","Spayed Female","4 months","Boxer Mix","Brown/White"
"A681364","","6/19/2014 17:38","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black"
"A682969","Lizzie","7/21/2014 15:59","Adoption","","Dog","Spayed Female","2 months","Dachshund Mix","Black/Tan"
"A666302","Spencer","10/31/2013 12:10","Return_to_owner","","Dog","Neutered Male","9 years","Australian Shepherd Mix","Black/Tricolor"
"A693293","","12/5/2014 13:33","Euthanasia","Suffering","Dog","Intact Male","8 years","Labrador Retriever Mix","Black/Black"
"A706690","","8/28/2015 13:12","Adoption","Foster","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black"
"A703637","","5/28/2015 11:58","Transfer","Partner","Dog","Intact Male","2 months","Pit Bull Mix","Blue/White"
"A674651","","3/21/2014 17:31","Adoption","","Dog","Neutered Male","2 months","Rottweiler Mix","Black/Brown"
"A676898","Shirley","12/1/2014 16:26","Adoption","","Dog","Spayed Female","2 years","Catahoula Mix","White/Tan"
"A681147","","6/25/2014 16:52","Transfer","Partner","Dog","Spayed Female","2 months","Dachshund Mix","Tricolor"
"A707812","Milo","8/21/2015 17:13","Transfer","Partner","Dog","Neutered Male","7 years","Chihuahua Shorthair Mix","Brown/White"
"A664464","","10/10/2013 16:59","Transfer","Partner","Dog","Intact Male","1 year","Dachshund Longhair Mix","Tan"
"A684065","Chemmie","7/29/2014 17:56","Return_to_owner","","Dog","Spayed Female","6 years","Rat Terrier","White/Red"
"A672016","Puchi","2/4/2014 12:15","Return_to_owner","","Dog","Intact Male","10 years","Miniature Schnauzer Mix","Gray/White"
"A720614","","2/16/2016 18:08","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Black/Tan"
"A669839","Aurora","4/17/2014 15:38","Euthanasia","Suffering","Dog","Spayed Female","4 years","Border Collie Mix","Black/White"
"A665622","","10/24/2013 17:34","Transfer","Partner","Dog","Spayed Female","1 year","Old English Sheepdog","Gray/White"
"A715045","Nala","11/8/2015 16:38","Return_to_owner","","Dog","Spayed Female","2 years","Labrador Retriever Mix","Brown"
"A674786","Jake","3/18/2014 17:29","Return_to_owner","","Dog","Neutered Male","6 years","Jindo Mix","Red"
"A447896","Venus","1/6/2016 14:16","Return_to_owner","","Dog","Spayed Female","11 years","Chow Chow Mix","Brown/Black"
"A711168","Chucho","9/3/2015 11:41","Return_to_owner","","Dog","Intact Male","2 years","American Pit Bull Terrier Mix","Sable/White"
"A717181","Toro","12/9/2015 14:46","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","White/Tan"
"A634209","Rex","1/19/2014 14:51","Return_to_owner","","Dog","Neutered Male","4 years","Boxer Mix","Brown/White"
"A571229","Chokolate","3/27/2014 8:11","Transfer","Partner","Dog","Neutered Male","7 years","Pit Bull Mix","Brown Brindle"
"A694552","Kila","12/30/2014 16:00","Euthanasia","Aggressive","Dog","Spayed Female","15 years","Pit Bull Mix","Brown Brindle/White"
"A712836","Bambi","10/28/2015 0:00","Transfer","Partner","Dog","Spayed Female","8 months","Pit Bull Mix","Brown/White"
"A716906","","12/30/2015 12:44","Euthanasia","Suffering","Dog","Intact Male","4 months","Chihuahua Shorthair Mix","White"
"A714488","Daenerys","10/26/2015 18:47","Return_to_owner","","Dog","Spayed Female","4 years","Labrador Retriever Mix","Brown/White"
"A714368","","10/26/2015 11:46","Adoption","","Dog","Spayed Female","8 months","Whippet Mix","Chocolate/White"
"A698469","Dolly","3/26/2015 18:17","Transfer","Partner","Dog","Spayed Female","10 years","Chihuahua Shorthair Mix","Black"
"A696110","","1/31/2015 12:19","Transfer","Partner","Dog","Neutered Male","5 years","Dachshund Mix","Red Merle/White"
"A640516","Cash","1/4/2014 12:26","Adoption","","Dog","Neutered Male","3 years","American Bulldog","White/Brown Tiger"
"A669198","Cooper","6/24/2014 18:56","Adoption","","Dog","Neutered Male","2 years","Pit Bull Mix","Tan/Brown"
"A713836","","10/17/2015 11:42","Transfer","Partner","Dog","Intact Male","15 years","Chihuahua Shorthair Mix","Black/Tan"
"A648044","Dori","4/3/2014 15:37","Adoption","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Black"
"A682941","Capitan","5/22/2015 18:27","Return_to_owner","","Dog","Neutered Male","3 years","Boxer Mix","Tan/White"
"A714079","","10/21/2015 17:51","Return_to_owner","","Dog","Intact Male","4 years","Pit Bull Mix","Brown Brindle"
"A681208","Paco","6/15/2014 16:50","Return_to_owner","","Dog","Neutered Male","2 years","Staffordshire Mix","Fawn/White"
"A675617","Stevie","4/7/2014 14:50","Transfer","Partner","Dog","Intact Male","8 years","Rat Terrier Mix","White/Chocolate"
"A721029","Heidi","2/20/2016 11:58","Return_to_owner","","Dog","Spayed Female","2 years","German Shepherd Mix","Brown/Black"
"A671854","Dakota","2/11/2014 16:16","Adoption","","Dog","Neutered Male","6 years","Rat Terrier Mix","Tricolor"
"A701242","Capri","5/1/2015 12:37","Transfer","Partner","Dog","Intact Female","5 months","Black Mouth Cur Mix","Brown/Black"
"A688481","","9/23/2014 17:31","Adoption","","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Black"
"A671216","Ollie","1/26/2014 17:55","Adoption","","Dog","Neutered Male","1 year","Chihuahua Longhair Mix","Tricolor"
"A695187","Chef","5/15/2015 16:45","Transfer","Partner","Dog","Neutered Male","8 months","Labrador Retriever Mix","Black/White"
"A687843","French Fry","11/20/2014 15:27","Transfer","Partner","Dog","Neutered Male","2 years","Pit Bull Mix","Black/White"
"A682357","","6/30/2014 14:09","Transfer","Partner","Dog","Intact Male","2 years","Jack Russell Terrier Mix","Brown/White"
"A664552","Penny","12/2/2013 19:06","Adoption","Foster","Dog","Spayed Female","2 months","Chinese Sharpei Mix","White/Black"
"A691880","","11/12/2014 16:59","Transfer","Partner","Dog","Intact Male","1 month","Pit Bull Mix","Brown Brindle"
"A461224","Togo","11/15/2014 12:28","Return_to_owner","","Dog","Neutered Male","8 years","Siberian Husky","Tan/Gray"
"A610763","Princess","5/14/2014 18:03","Adoption","","Dog","Spayed Female","10 years","Chihuahua Shorthair Mix","White/Black"
"A666923","Nina","11/17/2013 14:14","Transfer","Partner","Dog","Spayed Female","1 year","Dachshund Mix","Sable"
"A582875","Chops","8/21/2015 14:47","Return_to_owner","","Dog","Spayed Female","5 years","Chihuahua Shorthair Mix","Black"
"A685972","Canelo","8/19/2014 12:16","Transfer","Partner","Dog","Neutered Male","3 months","Chihuahua Shorthair Mix","Brown/White"
"A700276","Bowser","5/21/2015 16:24","Adoption","","Dog","Neutered Male","9 months","Pit Bull Mix","Fawn/White"
"A677728","Lucy","5/3/2014 16:52","Adoption","","Dog","Spayed Female","3 months","Chihuahua Shorthair Mix","Tan/White"
"A564837","Peaches","11/20/2014 16:17","Return_to_owner","","Dog","Spayed Female","5 years","Pit Bull Mix","Black/White"
"A684106","","7/27/2014 12:00","Transfer","Partner","Dog","Intact Male","4 months","Border Collie Mix","White/Black"
"A698813","Juliet","3/29/2015 14:44","Adoption","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Tan"
"A672213","Frank","2/7/2014 18:01","Return_to_owner","","Dog","Neutered Male","2 years","English Bulldog Mix","Tan/White"
"A692491","Bailey","12/31/2014 17:20","Adoption","","Dog","Spayed Female","8 months","Black Mouth Cur Mix","Brown/Black"
"A687375","","9/8/2014 18:38","Adoption","","Dog","Neutered Male","2 months","Australian Cattle Dog Mix","Black/White"
"A679202","","5/21/2014 15:21","Transfer","Partner","Dog","Intact Female","1 weeks","Chihuahua Shorthair Mix","Tan"
"A669926","","1/1/2014 13:00","Transfer","Partner","Dog","Intact Female","7 months","Plott Hound Mix","Brown/Tan"
"A704885","Precious","6/10/2015 12:18","Euthanasia","Suffering","Dog","Unknown","6 months","Pit Bull Mix","Black/White"
"A564443","Titan","8/10/2014 11:42","Return_to_owner","","Dog","Neutered Male","5 years","Pit Bull","Blue/White"
"A687869","Corkie","11/22/2014 7:44","Adoption","Foster","Dog","Spayed Female","5 years","Dachshund Mix","Red"
"A651873","Rusty","12/26/2013 16:37","Transfer","Partner","Dog","Neutered Male","5 years","Dachshund Mix","Red"
"A697539","Sadie","4/24/2015 18:34","Adoption","Foster","Dog","Spayed Female","5 months","Pit Bull Mix","Brown/White"
"A694782","Sinch","5/30/2015 14:55","Return_to_owner","","Dog","Neutered Male","3 years","Australian Shepherd Mix","Blue Merle/Tan"
"A680711","Enyo","7/7/2014 17:04","Adoption","","Dog","Neutered Male","1 year","Catahoula","Brown Merle"
"A674068","Fritz","6/14/2014 14:15","Adoption","Foster","Dog","Neutered Male","9 years","Miniature Schnauzer","Gray"
"A659904","Bella","10/10/2015 15:10","Adoption","","Dog","Spayed Female","6 years","Catahoula Mix","White/Brown"
"A711919","","9/17/2015 15:14","Transfer","Partner","Dog","Neutered Male","6 years","Maltese Mix","White"
"A665372","","10/16/2013 18:41","Transfer","Partner","Dog","Intact Female","1 week","Labrador Retriever Mix","Black/White"
"A703287","Reuben","6/30/2015 13:09","Transfer","Partner","Dog","Neutered Male","1 year","Australian Kelpie Mix","Red"
"A677881","Sweet Pea","5/3/2014 7:43","Adoption","Offsite","Dog","Spayed Female","3 years","Pomeranian Mix","Tan"
"A679381","Cola","2/7/2015 11:24","Return_to_owner","","Dog","Intact Male","1 year","Chihuahua Shorthair Mix","Tan/White"
"A681387","King","6/16/2014 18:40","Return_to_owner","","Dog","Intact Male","1 year","Pit Bull Mix","Blue/White"
"A681537","Princess","6/19/2014 18:03","Return_to_owner","","Dog","Intact Female","7 months","Pit Bull Mix","Black/White"
"A703174","Fanny","5/25/2015 17:51","Adoption","","Dog","Spayed Female","8 months","Border Collie Mix","Black/White"
"A686890","Moose","9/7/2014 17:22","Adoption","","Dog","Neutered Male","10 months","Australian Cattle Dog Mix","Tan/White"
"A712278","Eddie","9/25/2015 14:31","Return_to_owner","","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Black/Tan"
"A661250","Rex","11/14/2013 14:17","Adoption","","Dog","Neutered Male","1 year","Pit Bull Mix","Black/White"
"A681289","Deuce","6/19/2014 18:11","Transfer","Partner","Dog","Neutered Male","2 years","Rat Terrier Mix","Tricolor"
"A626087","Diamond","7/1/2014 15:29","Adoption","Foster","Dog","Spayed Female","9 years","Bull Terrier Mix","Tan/White"
"A699506","Pepper","3/28/2015 16:34","Return_to_owner","","Dog","Spayed Female","4 months","Australian Cattle Dog Mix","Black/White"
"A694727","Ida","1/5/2015 11:42","Transfer","Partner","Dog","Spayed Female","3 years","Boxer Mix","White"
"A692926","Kira","11/29/2014 13:57","Return_to_owner","","Dog","Intact Female","11 years","Beagle Mix","Tricolor"
"A653813","Ladybird","10/20/2015 17:24","Return_to_owner","","Dog","Spayed Female","14 years","German Shepherd Mix","Black/Cream"
"A691619","Sam","12/7/2014 18:56","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Sable"
"A663646","","10/1/2013 11:12","Transfer","Partner","Dog","Neutered Male","3 years","Toy Poodle Mix","White"
"A705211","Charlie","7/10/2015 11:20","Euthanasia","Aggressive","Dog","Neutered Male","2 years","St. Bernard Smooth Coat Mix","White/Red"
"A705810","Lucy","6/28/2015 17:10","Adoption","","Dog","Spayed Female","1 year","Catahoula Mix","Brown Merle"
"A719831","Max","2/1/2016 0:00","Return_to_owner","","Dog","Intact Male","5 years","Miniature Schnauzer Mix","Gray"
"A675789","Willis","6/11/2014 10:43","Euthanasia","Aggressive","Dog","Neutered Male","2 years","Pit Bull Mix","Brown/White"
"A718270","Rocky","2/18/2016 13:58","Euthanasia","Medical","Dog","Neutered Male","2 years","Pit Bull Mix","Tan/White"
"A702861","","5/20/2015 11:56","Transfer","Partner","Dog","Intact Female","2 years","Lhasa Apso Mix","Cream"
"A679842","Sweetie","5/31/2014 17:26","Return_to_owner","","Dog","Spayed Female","8 years","Chihuahua Shorthair Mix","Tan/White"
"A615748","Blackie","10/26/2015 18:13","Euthanasia","Suffering","Dog","Neutered Male","5 years","Labrador Retriever Mix","Black"
"A669583","Percy","12/28/2013 18:52","Adoption","","Dog","Neutered Male","2 years","Cardigan Welsh Corgi Mix","Chocolate/Tan"
"A665650","","10/28/2013 15:32","Transfer","Partner","Dog","Spayed Female","1 year","Chow Chow Mix","Red"
"A601518","Stanley","11/19/2014 11:03","Return_to_owner","","Dog","Neutered Male","4 years","Miniature Schnauzer Mix","Black/White"
"A668347","","12/3/2013 14:39","Transfer","Partner","Dog","Intact Male","1 month","Australian Shepherd Mix","Black/Tricolor"
"A698815","","3/22/2015 17:51","Adoption","","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Tan"
"A708718","Bronco","8/10/2015 18:28","Adoption","","Dog","Neutered Male","2 years","Pit Bull Mix","Brown/White"
"A714165","Lacy","10/28/2015 16:03","Return_to_owner","","Dog","Spayed Female","2 years","Blue Lacy Mix","Red/White"
"A680652","Gaspi","11/30/2014 17:53","Return_to_owner","","Dog","Neutered Male","3 years","Shih Tzu Mix","White/Gray"
"A674868","Lencho","3/28/2015 16:51","Return_to_owner","","Dog","Neutered Male","3 years","Pomeranian Mix","Tan/White"
"A694840","","1/20/2015 14:41","Transfer","Partner","Dog","Intact Male","2 weeks","Border Collie Mix","White/Black"
"A665807","Toby","11/4/2013 10:58","Euthanasia","Aggressive","Dog","Intact Male","3 years","Dachshund Mix","Brown"
"A707192","Shiner","7/26/2015 11:36","Adoption","","Dog","Intact Female","4 months","Pointer Mix","Black/White"
"A697486","Franklin","3/10/2015 16:30","Transfer","Partner","Dog","Neutered Male","1 year","Pug Mix","Tan/Black"
"A662735","Linux","1/26/2014 12:24","Adoption","","Dog","Neutered Male","1 year","Border Collie Mix","Black/White"
"A507557","Romulus","4/17/2014 11:47","Return_to_owner","","Dog","Neutered Male","6 years","Pit Bull Mix","Blue/White"
"A696446","","2/8/2015 13:55","Transfer","Partner","Dog","Intact Female","1 month","Chihuahua Shorthair Mix","Brown/White"
"A697189","Stetson","3/14/2015 19:05","Adoption","","Dog","Neutered Male","2 years","Jack Russell Terrier","White/Brown"
"A664371","Yogi","10/12/2013 18:00","Return_to_owner","","Dog","Neutered Male","4 months","Labrador Retriever Mix","Black"
"A670013","Bandit","1/3/2014 11:05","Return_to_owner","","Dog","Spayed Female","2 years","Catahoula Mix","Tan/White"
"A678107","Squirt","5/4/2014 12:23","Return_to_owner","","Dog","Neutered Male","15 years","Boston Terrier Mix","Black/White"
"A676490","Sarah","4/15/2014 14:05","Adoption","","Dog","Intact Female","1 year","Pit Bull Mix","Brown Brindle/White"
"A715180","Biggie Small","11/6/2015 18:03","Adoption","","Dog","Neutered Male","9 months","Papillon Mix","White/Black"
"A691518","Blackie","11/21/2014 13:18","Transfer","Partner","Dog","Intact Female","3 years","Chihuahua Longhair Mix","Black"
"A697786","Abby","3/7/2015 18:54","Adoption","","Dog","Spayed Female","4 months","Doberman Pinsch","Black/Brown"
"A680054","Sophie","5/31/2014 12:58","Adoption","","Dog","Spayed Female","6 years","Miniature Poodle Mix","White"
"A690954","Lillith","11/2/2014 16:36","Transfer","Partner","Dog","Intact Female","5 months","Labrador Retriever Mix","Tan/White"
"A672111","Austin","2/19/2014 14:49","Transfer","Partner","Dog","Neutered Male","5 years","Jack Russell Terrier Mix","Tricolor"
"A665785","Arnold","11/8/2013 13:32","Transfer","Partner","Dog","Neutered Male","3 years","Doberman Pinsch Mix","Black/Brown"
"A717892","Paco","12/22/2015 17:38","Adoption","","Dog","Neutered Male","6 years","Chihuahua Shorthair Mix","Black/Brown"
"A705220","Sasha","6/15/2015 11:43","Return_to_owner","","Dog","Intact Female","4 years","German Shepherd","Black/Brown"
"A703937","Harvey","6/5/2015 17:17","Transfer","Partner","Dog","Neutered Male","2 years","Chinese Sharpei","Tan"
"A696332","","2/6/2015 16:54","Transfer","Partner","Dog","Unknown","1 weeks","Chihuahua Shorthair Mix","Black/White"
"A716409","Mia","11/27/2015 17:33","Adoption","","Dog","Spayed Female","6 years","Golden Retriever Mix","Buff"
"A710211","Squeakers","9/1/2015 12:50","Adoption","","Dog","Spayed Female","10 years","Miniature Schnauzer Mix","Black"
"A694481","Half Pint","1/9/2015 12:20","Transfer","Partner","Dog","Intact Male","5 years","Shih Tzu","White/Black"
"A684461","","9/29/2014 18:08","Euthanasia","Suffering","Dog","Neutered Male","15 years","Australian Shepherd Mix","Tricolor/Black"
"A670762","Marley","1/16/2014 18:53","Return_to_owner","","Dog","Spayed Female","2 years","Beagle Mix","Tricolor"
"A701977","","5/7/2015 14:44","Transfer","Partner","Dog","Unknown","2 months","German Shepherd Mix","Tan/Black"
"A656539","Pepper","1/10/2014 13:14","Adoption","","Dog","Spayed Female","1 year","Plott Hound","Brown Brindle/White"
"A709720","","8/13/2015 12:25","Transfer","Partner","Dog","Intact Male","1 month","Shih Tzu Mix","Black"
"A678405","Suzie","5/19/2014 12:31","Adoption","","Dog","Spayed Female","2 years","Basset Hound Mix","White/Black"
"A632004","Papuchon","3/15/2014 13:17","Transfer","Partner","Dog","Neutered Male","4 years","Boxer Mix","White/Tan"
